ecode,cname,fye,filingDate,address,stkno
E25269,ラクオリア創薬株式会社,2014-12-31,2015-03-27,愛知県名古屋市中村区名駅南一丁目21番19号,4579.0
E00377,第一屋製パン株式会社,2014-12-31,2015-03-27,東京都小平市小川東町３丁目６番１号,2215.0
E04846,株式会社アイ・エス・ビー,2014-12-31,2015-03-27,東京都品川区大崎５丁目１番11号,9702.0
E30649,株式会社ムゲンエステート,2014-12-31,2015-03-27,東京都中央区日本橋浜町三丁目19番３号,3299.0
E05115,ソフトブレーン株式会社,2014-12-31,2015-03-27,東京都中央区八重洲二丁目３番１号,4779.0
E02308,株式会社タムロン,2014-12-31,2015-03-27,埼玉県さいたま市見沼区蓮沼1385番地,7740.0
E04055,株式会社ラ・アトレ,2014-12-31,2015-03-27,東京都港区海岸一丁目９番18号　国際浜松町ビル５階,8885.0
E27361,株式会社ブロードリーフ,2014-12-31,2015-03-27,東京都品川区東品川四丁目13番14号,3673.0
E02979,クリヤマホールディングス株式会社,2014-12-31,2015-03-27,大阪市淀川区西中島１丁目12番４号,3355.0
E00901,ＤＩＣ株式会社,2014-12-31,2015-03-27,東京都板橋区坂下三丁目35番58号,4631.0
E02421,日本エアーテック株式会社,2014-12-31,2015-03-27,東京都台東区入谷一丁目14番９号,6291.0
E02934,木徳神糧株式会社,2014-12-31,2015-03-27,東京都中央区銀座七丁目２番22号（同所は登記上の本店所在地で、実際の業務は下記で行っております。）,2700.0
E01122,旭硝子株式会社,2014-12-31,2015-03-27,東京都千代田区丸の内一丁目５番１号,5201.0
E05348,株式会社ジェクシード,2014-12-31,2015-03-27,東京都千代田区神田錦町三丁目17番地11,3719.0
E00876,株式会社クラレ,2014-12-31,2015-03-27,岡山県倉敷市酒津1621番地,3405.0
E05741,ビリングシステム株式会社,2014-12-31,2015-03-27,東京都千代田区内幸町一丁目１番１号,3623.0
E00337,六甲バター株式会社,2014-12-31,2015-03-27,神戸市中央区坂口通一丁目３番13号,2266.0
E04515,京葉瓦斯株式会社,2014-12-31,2015-03-27,千葉県市川市市川南二丁目８番８号,9539.0
E02379,株式会社ノーリツ,2014-12-31,2015-03-27,神戸市中央区江戸町93番地,5943.0
E04795,いであ株式会社,2014-12-31,2015-03-27,東京都世田谷区駒沢三丁目15番１号,9768.0
E00593,株式会社三陽商会,2014-12-31,2015-03-27,東京都新宿区本塩町14番地,8011.0
E05099,株式会社大塚商会,2014-12-31,2015-03-27,東京都千代田区飯田橋二丁目18番４号,4768.0
E25867,ＫＬａｂ株式会社,2014-12-31,2015-03-27,東京都港区六本木六丁目10番１号,3656.0
E00674,ザ・パック株式会社,2014-12-31,2015-03-27,大阪市東成区東小橋二丁目９番９号,3950.0
E00751,昭和電工株式会社,2014-12-31,2015-03-27,東京都港区芝大門一丁目13番９号,4004.0
E01257,新報国製鉄株式会社,2014-12-31,2015-03-27,埼玉県川越市新宿町５丁目13番地１,5542.0
E00395,キリンホールディングス株式会社,2014-12-31,2015-03-27,東京都中野区中野四丁目10番２号,2503.0
E31056,メディカル・データ・ビジョン株式会社,2014-12-31,2015-03-27,東京都千代田区神田美土代町７番地,3902.0
E01085,横浜ゴム株式会社,2014-12-31,2015-03-27,東京都港区新橋５丁目36番11号,5101.0
E02274,キヤノン株式会社,2014-12-31,2015-03-27,東京都大田区下丸子三丁目30番２号,7751.0
E00524,片倉工業株式会社,2014-12-31,2015-03-27,東京都中央区明石町６番４号,3001.0
E30133,株式会社ダイキアクシス,2014-12-31,2015-03-27,愛媛県松山市美沢一丁目９番１号,4245.0
E05199,株式会社レッグス,2014-12-31,2015-03-27,東京都渋谷区神宮前二丁目４番12号,4286.0
E01921,株式会社共和電業,2014-12-31,2015-03-27,東京都調布市調布ヶ丘３丁目５番地１,6853.0
E04902,株式会社スペース,2014-12-31,2015-03-27,東京都中央区日本橋人形町三丁目９番４号,9622.0
E21799,内外トランスライン株式会社,2014-12-31,2015-03-27,大阪市中央区安土町三丁目５番12号,9384.0
E02416,クリエートメディック株式会社,2014-12-31,2015-03-27,神奈川県横浜市都筑区茅ヶ崎南二丁目５番25号,5187.0
E00736,スターツ出版株式会社,2014-12-31,2015-03-27,東京都江戸川区中葛西五丁目33番14号同所は登記上の本店所在地で実際の業務は「最寄りの連絡場所」で行っております。,7849.0
E02961,株式会社カッシーナ・イクスシー,2014-12-31,2015-03-27,東京都港区南青山二丁目13番10号,2777.0
E05407,株式会社青山財産ネットワークス,2014-12-31,2015-03-27,東京都港区赤坂八丁目４番14号,8929.0
E05080,楽天株式会社,2014-12-31,2015-03-27,東京都品川区東品川４丁目12番３号,4755.0
E02861,清和中央ホールディングス株式会社,2014-12-31,2015-03-27,大阪市西区九条南３丁目１番20号,7531.0
E01162,東海カーボン株式会社,2014-12-31,2015-03-27,東京都港区北青山一丁目２番３号,5301.0
E01070,昭和シェル石油株式会社,2014-12-31,2015-03-27,東京都港区台場二丁目３番２号,5002.0
E01412,岡部株式会社,2014-12-31,2015-03-27,東京都墨田区押上二丁目８番２号,5959.0
E31348,株式会社Aiming,2014-12-31,2015-03-27,東京都渋谷区代々木二丁目１番１号　新宿マインズタワー９階,3911.0
E01090,東洋ゴム工業株式会社,2014-12-31,2015-03-27,大阪市西区江戸堀１丁目17番18号,5105.0
E27723,株式会社Ｎ・フィールド,2014-12-31,2015-03-27,大阪市北区堂島浜一丁目４番４号アクア堂島東館,6077.0
E27894,株式会社ショーケース・ティービー,2014-12-31,2015-03-27,東京都港区赤坂三丁目21番13号,3909.0
E01876,第一精工株式会社,2014-12-31,2015-03-27,京都市伏見区桃山町根来12番地４,6640.0
E05149,バリューコマース株式会社,2014-12-31,2015-03-27,東京都港区六本木一丁目４番５号（平成26年９月24日より本店所在地　東京都港区赤坂八丁目１番19号から上記に移転しております。）,2491.0
E31037,竹本容器株式会社,2014-12-31,2015-03-27,東京都台東区西浅草一丁目５番15号（上記は登記上の本店所在地であり、実際の本社業務は下記の場所で行っております。）,4248.0
E22554,株式会社小田原機器,2014-12-31,2015-03-27,神奈川県小田原市中町一丁目11番３号,7314.0
E05457,株式会社フィスコ,2014-12-31,2015-03-27,大阪府岸和田市荒木町二丁目18番15号（同所は登記上の本店所在地であり、実際の業務は「最寄りの連絡場所」で行っております。）,3807.0
E27421,株式会社クロス・マーケティンググループ,2014-12-31,2015-03-27,東京都新宿区西新宿三丁目20番２号,3675.0
E01256,新日本電工株式会社（旧会社名　日本電工株式会社）,2014-12-31,2015-03-27,東京都中央区八重洲一丁目4番16号,5563.0
E01760,株式会社正興電機製作所,2014-12-31,2015-03-27,福岡市博多区東光二丁目７番25号,6653.0
E02466,株式会社パイロットコーポレーション,2014-12-31,2015-03-27,東京都中央区京橋二丁目６番21号,7846.0
E05036,株式会社CAC Holdings(旧会社名　株式会社シーエーシー),2014-12-31,2015-03-27,東京都中央区日本橋箱崎町24番１号,4725.0
E02900,シークス株式会社,2014-12-31,2015-03-27,大阪市中央区備後町一丁目４番９号,7613.0
E26869,日本コンセプト株式会社,2014-12-31,2015-03-27,東京都千代田区内幸町二丁目２番２号,9386.0
E22470,株式会社バリューＨＲ,2014-12-31,2015-03-27,東京都渋谷区千駄ケ谷五丁目21番14号（上記は登記上の本店所在地であり、実際の業務は、「最寄りの連絡場所」で行っております。）,6078.0
E05712,株式会社ジーエヌアイグループ,2014-12-31,2015-03-27,東京都中央区日本橋本町二丁目２番２号（平成27年３月26日開催の第14期定時株主総会において、定款に定める本店所在地を東京都中央区に変更し、同日付で東京都新宿区西新宿三丁目７番１号から上記に移転しております。）,2160.0
E05510,株式会社ジオネクスト（旧会社名　ターボリナックスＨＤ株式会社）,2014-12-31,2015-03-27,東京都台東区蔵前三丁目６番７号（注）平成27年４月１日から下記に移転する予定であります。東京都港区赤坂四丁目８番14号,3777.0
E30053,アライドアーキテクツ株式会社,2014-12-31,2015-03-27,東京都渋谷区恵比寿一丁目19番15号ウノサワ東急ビル４階,6081.0
E00604,株式会社ルック,2014-12-31,2015-03-27,東京都目黒区中目黒２丁目７番７号,8029.0
E05293,株式会社エプコ,2014-12-31,2015-03-27,東京都墨田区太平四丁目１番３号　オリナスタワー12階（注）平成26年11月４日より本店の所在の場所を東京都足立区千住仲町41番１号 三井生命北千住ビル４階から上記へ移転しております。,2311.0
E02389,立川ブラインド工業株式会社,2014-12-31,2015-03-27,東京都港区三田三丁目１番12号,7989.0
